"row";"column";"CdSO4-fit";"CdS-fit"
4;17;0.0732022;0.926798
4;18;0.052367;0.947633
4;19;0.0423788;0.957621
4;20;0.0198953;0.980105
4;21;0;1
4;22;0;1
4;23;0;1
4;24;0;1
4;25;0;1
4;26;0;1
4;27;0;1
4;28;0;1
4;29;5.55e-17;1
4;30;0;1
4;31;0;1
4;32;0;1
4;33;0;1
4;34;5.55e-17;1
4;35;0;1
4;36;0;1
4;37;0;1
4;38;0.0451155;0.954885
4;39;0.0557753;0.944225
4;40;0.0285571;0.971443
4;41;0.0186025;0.981398
4;42;0.00868742;0.991313
4;43;0.0197009;0.980299
4;44;0.0315603;0.96844
4;45;0.0195268;0.980473
4;46;0.0157182;0.984282
4;47;0.0206697;0.97933
4;48;0.00212175;0.997878
4;49;0;1
4;50;0;1
4;51;0;1
4;52;0;1
4;53;0;1
4;54;0;1
4;55;0;1
4;56;0;1
4;57;0.0242489;0.975751
4;58;0.0308911;0.969109
4;59;0.0167053;0.983295
4;60;0;1
4;61;0;1
4;62;0;1
4;63;0.00775915;0.992241
4;64;0.0199929;0.980007
4;65;0.00857416;0.991426
4;66;0;1
4;67;0.00169267;0.998307
4;68;0.0194518;0.980548
4;69;0.0408764;0.959124
4;70;0;1
4;71;0;1
4;72;0;1
4;73;0.0748667;0.925133
4;74;0;1
4;75;0.0357733;0.964227
4;76;0.0329112;0.967089
4;77;0.0454601;0.95454
4;78;0.0396997;0.9603
4;79;0.0192758;0.980724
4;80;0.000461241;0.999539
4;81;0;1
4;82;0;1
4;83;0.00697575;0.993024
4;84;0.029347;0.970653
4;85;0.00396164;0.996038
4;86;0;1
4;87;0;1
4;88;0;1
4;89;0;1
4;90;0.00706823;0.992932
4;91;0.0191166;0.980883
4;92;0.0180743;0.981926
4;93;0.0218399;0.97816
4;94;0.0316789;0.968321
4;95;0.0371547;0.962845
4;96;0.0466214;0.953379
4;97;0.0455786;0.954421
4;98;0.0341687;0.965831
4;99;0.0397776;0.960222
4;100;0.0414486;0.958551
4;101;0.0589926;0.941007
4;102;0.0247131;0.975287
4;103;0.0152328;0.984767
4;104;0.0343232;0.965677
4;105;0.0493427;0.950657
4;106;0.0389716;0.961028
4;107;0;1
4;108;0;1
4;109;0;1
4;110;0;1
4;111;0.00577574;0.994224
4;112;0.0168325;0.983167
4;113;0.0292936;0.970706
4;114;0.043428;0.956572
4;115;0.050208;0.949792
4;116;0.0520557;0.947944
4;117;0;1
4;118;0;1
4;119;0;1
4;120;0.0526964;0.947304
4;121;0.0398566;0.960143
4;122;0.0268173;0.973183
4;123;0.0263848;0.973615
4;124;0.0352992;0.964701
4;125;0.0353155;0.964684
4;126;0.00569099;0.994309
4;127;0.00792917;0.992071
4;128;0.00203829;0.997962
4;129;0.0106313;0.989369
4;130;0.0222267;0.977773
4;131;0.0246183;0.975382
4;132;0.0102935;0.989706
4;133;0.0151809;0.984819
4;134;0.0320982;0.967902
4;135;0.0409933;0.959007
4;136;0.036034;0.963966
4;137;0.0330613;0.966939
4;138;0.0384432;0.961557
4;139;0.0475361;0.952464
4;140;0.03321;0.96679
4;141;0.0117233;0.988277
4;142;0.010587;0.989413
4;143;0.019784;0.980216
4;144;0.0127185;0.987282
4;145;0.0186798;0.98132
4;146;0.00512125;0.994879
4;147;0;1
4;148;0.0108865;0.989114
4;149;0.00645387;0.993546
4;150;0.00841506;0.991585
4;151;0.00251989;0.99748
4;152;0;1
4;153;0.00103162;0.998968
4;154;0;1
4;155;0.00309547;0.996905
4;156;0;1
4;157;0.010073;0.989927
4;158;0.0312628;0.968737
4;159;0.0108629;0.989137
