Wavelength	Media	StDev
nm		
354.783233642578	23.9419451600651	6.84440955594779
355.356903076172	33.4418622674406	10.2288732584812
355.930572509766	36.3143775195236	7.16091144422599
356.504241943359	34.8053155600486	8.51308050758805
357.077911376953	30.6766744043255	5.80343185885396
357.651550292969	28.2718654045341	12.6341205222613
358.225219726563	24.1001821854526	15.8122947635408
358.798889160156	30.0526134519858	9.12452710711901
359.37255859375	34.8269827559364	4.4027319108683
359.946228027344	30.5463710498047	10.7557072675444
360.519897460938	29.2346656688225	8.60916950420762
361.093566894531	36.709118590531	2.31289233138347
361.667236328125	37.8876940702759	4.13514237167675
362.240905761719	35.398885615025	6.54355925232312
362.814575195313	35.4400196786878	5.2299368282393
363.388244628906	34.7416326726016	5.71497432924117
363.9619140625	36.599516784874	9.60507894249116
364.535583496094	35.6552299992824	11.3707986228279
365.109252929688	28.5771854782664	13.8619012118526
365.682922363281	28.1894964541558	14.4050337474624
366.256591796875	35.5554808790818	11.8560147011289
366.830261230469	36.610866529616	10.2357375667576
367.403930664063	31.7062397748417	12.0679573900875
367.977600097656	34.6522996124274	9.35280606485819
368.55126953125	42.5915737937361	11.0510545390078
369.124938964844	41.1623080061517	4.66881649762444
369.698608398438	39.4841784516013	5.13065454073454
370.272277832031	35.4444919969653	6.52369629251454
370.845947265625	29.1593186479116	13.3300514379989
371.419616699219	35.0063893193162	9.46302577802027
371.993286132813	39.391949855983	8.19167987114743
372.566955566406	42.7414001070496	11.9440275143886
373.140594482422	37.8614533851312	9.71444071802546
373.714263916016	37.4229061163053	14.229505495155
374.287933349609	32.5866975634073	7.59365267608823
374.861602783203	40.3326595594266	7.63025584419146
375.435272216797	41.6283440096834	10.4945312338868
376.008941650391	36.0894091325545	12.7763708546155
376.582611083984	38.1154680855459	10.5219579947171
377.156280517578	40.3048741459993	9.18180428660878
377.729949951172	43.495151543533	9.83535093186621
378.303619384766	43.1179827077823	10.6522290263604
378.877288818359	42.6820177120516	11.0334402051992
379.450958251953	38.1264213848866	14.7790625628699
380.024627685547	39.0849435127446	13.2276376478227
380.598297119141	42.1039188881159	14.0402366659912
381.171966552734	43.151100678646	15.2634825108947
381.745635986328	44.7611431804384	11.3752307831692
382.319305419922	43.1809245227566	10.1663390294943
382.892974853516	43.0066067838741	10.0914204167866
383.466644287109	43.633684959112	13.2056653005722
384.040313720703	46.3954639438145	10.6440565602623
384.613983154297	43.2820127832756	8.17148095767388
385.187652587891	44.2884476750218	9.62015427634682
385.761322021484	42.1236907274718	14.652686188902
386.334991455078	43.3393672299815	9.407852866294
386.908660888672	40.7284243666558	11.2575726171871
387.482330322266	41.5012890617795	7.59009324310335
388.055999755859	41.9505752080669	8.14065267538025
388.629638671875	40.4663636264448	13.0544239796261
389.203308105469	43.1785036682312	8.96909738238192
389.776977539063	45.3894744860453	11.6728964211977
390.350646972656	40.9677231061483	12.3941376321304
390.92431640625	46.67381733357	10.3060449305412
391.497985839844	47.3868426170924	11.0491815810832
392.071655273438	46.0436018304924	13.5047777211902
392.645324707031	48.6217388432261	11.5568177676691
393.218994140625	53.4165275166737	12.4750324695448
393.792663574219	47.7315318636394	12.3212594059047
394.366333007813	43.0861260144405	16.1911512955354
394.940002441406	47.3049844897684	12.527932584983
395.513671875	49.4026739254119	11.8491400571915
396.087341308594	50.8834440591792	10.9970706955304
396.661010742188	53.0565719806406	11.7506131120069
397.234680175781	51.7376400077934	13.0694048101964
397.808349609375	52.4637254731837	13.9301884843493
398.382019042969	50.418417044067	13.4044629809487
398.955688476563	50.7205354811087	11.4965023016258
399.529357910156	53.1104981601825	10.894822532512
400.10302734375	51.132147459931	11.1530212059369
400.676696777344	47.4732842020996	8.96365135761109
401.250366210938	46.3114283879359	8.22569934929001
401.824035644531	48.2627780527004	11.9301931987281
402.397705078125	49.8035631268873	11.7853619381868
402.971374511719	49.8606247690954	10.9400688626923
403.545043945313	49.5091062696936	12.448312557963
404.118682861328	48.4285965908116	13.2041744101091
404.692352294922	46.4791895188661	11.0306528863468
405.266021728516	50.4158447461018	13.7202092509574
405.839691162109	49.9334926009663	13.3801033569516
406.413360595703	51.1668324936875	14.0765653054694
406.987030029297	50.7406629836365	13.5687098158301
407.560699462891	51.560036827031	14.9992806742189
408.134368896484	54.8679486027246	11.5627941080495
408.708038330078	56.0844265683153	9.4500349601034
409.281707763672	53.2911978078168	13.5260386864351
409.855377197266	52.3703567272225	12.4398536970797
410.429046630859	51.7474105369969	12.0714874512245
411.002716064453	55.4642091117036	12.5208378190107
411.576385498047	55.2835233480881	12.1628773490347
412.150054931641	53.9081434745487	20.4226201448025
412.723724365234	55.9982603709297	13.6263886756536
413.297393798828	57.7344043745872	11.4272147774847
413.871063232422	56.79110312689	13.9350230394951
414.444732666016	55.8483359231978	14.1733599169604
415.018402099609	56.1449124502759	13.8412774186534
415.592071533203	54.9410525820302	15.5162621067587
416.165740966797	54.6815037532191	15.3809396146057
416.739410400391	54.1374980007937	16.7132309622453
417.313079833984	56.553652737315	15.9977053363999
417.886749267578	59.0871767065141	14.1595247771445
418.460418701172	57.7501035263281	15.6157853942495
419.034088134766	59.3079103207437	16.2703962611609
419.607727050781	61.1355365425331	15.6740771947221
420.181396484375	60.5004080207192	15.4877252632357
420.755065917969	58.9538944341051	13.9582407464087
421.328735351563	56.642587354863	15.8162276037617
421.902404785156	56.8697788162392	17.1389101250401
422.47607421875	58.2045551690215	12.7856793350822
423.049743652344	59.654140365762	12.9750763300246
423.623413085938	61.5651283579793	14.8908901479751
424.197082519531	60.1669502584332	15.693374179741
424.770751953125	56.8532170812777	18.3570734587053
425.344421386719	58.2299652247288	17.0788967564475
425.918090820313	60.316896789091	14.4595897190701
426.491760253906	61.0453904917709	15.5152591348489
427.0654296875	63.0957910938207	12.5351382473095
427.639099121094	62.2356678993148	13.2996753354793
428.212768554688	61.8118224024804	13.8037735646678
428.786437988281	61.4783947340011	14.1254096299855
429.360107421875	62.1488436624385	15.5585117105829
429.933776855469	62.2596590817873	16.0477398432678
430.507446289063	58.7113310443333	14.4451030441813
431.081115722656	64.5774567623903	13.6716332121714
431.65478515625	64.1096019127853	13.6507593710475
432.228454589844	61.4031314194648	16.7986687405627
432.802124023438	64.7242520595742	13.3321739675346
433.375793457031	62.3297595601052	14.6273829298454
433.949462890625	64.8012504063535	15.7378996881291
434.523132324219	63.8715694311499	15.4739934952868
435.096771240234	66.7334600393578	15.8168435070858
435.670440673828	69.1839072689693	12.0352662026365
436.244110107422	67.8181317117439	12.2753921220251
436.817779541016	67.3314145308683	14.9570684178737
437.391448974609	71.7637968372446	14.020642159156
437.965118408203	73.4064918804125	15.5891410507453
438.538787841797	70.9099031961333	14.96436751386
439.112457275391	67.0540226553837	12.1844862204448
439.686126708984	66.7049027934164	12.1440013029292
440.259796142578	70.3768296989982	13.0799216485157
440.833465576172	69.6595041508858	14.1495111102498
441.407135009766	68.7038536938153	14.4004278475767
441.980804443359	69.4937100081082	13.4804930743371
442.554473876953	70.7560824617846	12.6169376691603
443.128143310547	71.624605257747	13.9426609706276
443.701812744141	70.6168671623899	17.1856356385588
444.275482177734	69.6635345905103	15.7390930377556
444.849151611328	68.0028944548235	13.3599584242121
445.422821044922	70.4711491926923	13.4490675288894
445.996490478516	72.3341634070561	15.881814310722
446.570159912109	72.2708388849112	15.6395507284996
447.143829345703	72.7080009699636	12.883573922697
447.717498779297	73.6369810657208	16.31502151292
448.291168212891	73.3379708838635	16.6376472658421
448.864837646484	82.3104493743355	16.9929982331694
449.438507080078	93.519270288736	18.3127510229528
450.012176513672	89.0338160129187	22.2414324444799
450.585815429688	80.7086745430877	18.6802274495213
451.159484863281	83.1091462700877	17.3628432446745
451.733154296875	87.7149263753594	16.0601972457454
452.306823730469	83.2457365725043	18.8791734460791
452.880493164063	74.270442414334	18.3021506913113
453.454162597656	78.3476526468781	18.3638302298456
454.02783203125	78.6236782615495	17.8633790615853
454.601501464844	72.243476352387	15.0936845898817
455.175170898438	76.0685468493212	17.5066988044139
455.748840332031	81.9817492950254	16.5723881963867
456.322509765625	82.3915411706872	16.1031787867502
456.896179199219	83.9076607593189	19.5287237662699
457.469848632813	83.5829527074619	20.288689448238
458.043518066406	86.3829193571934	18.0006430997446
458.6171875	85.6299297383188	16.787508408675
459.190856933594	85.5548988784286	17.706060407031
459.764526367188	86.3214923461418	19.4860445535028
460.338195800781	84.5920168734883	23.6428705871059
460.911865234375	90.9125405906587	21.6062572124645
461.485534667969	100.181579215337	19.3945042700857
462.059204101563	103.506746138789	20.0652974959471
462.632873535156	104.765483427164	20.6072102229091
463.20654296875	103.327370671792	19.3987205894457
463.780212402344	98.3554637064946	21.4566819284264
464.353881835938	94.5990611835856	21.1902064418888
464.927551269531	94.9737294282619	19.6973402936189
465.501220703125	98.6832490041633	19.599388925937
466.074859619141	107.245811264953	22.2032976326033
466.648529052734	122.28454646801	23.6449762369013
467.222198486328	132.283741239519	22.3898586732401
467.795867919922	128.666736250575	25.5712754558183
468.369537353516	120.458799053766	25.8205834869835
468.943206787109	112.935494362612	20.8836619610684
469.516876220703	106.392369359015	20.0451813367853
470.090545654297	101.757860815037	20.5766045592096
470.664215087891	97.9472916426516	19.4026631356147
471.237884521484	94.9691084457748	18.5903421812167
471.811553955078	95.8331685848917	19.9099244438346
472.385223388672	106.458977417037	20.1425783570596
472.958892822266	115.454584599248	21.4731666981539
473.532562255859	104.486622472556	22.5727416528396
474.106231689453	90.4644717596228	20.9596768870663
474.679901123047	85.6185403029752	20.7475772346786
475.253570556641	85.5316920259148	18.7113431746659
475.827239990234	82.5857377606294	19.9732888553191
476.400909423828	83.6587991735398	18.0215824920806
476.974578857422	83.1737470401061	15.2527146541176
477.548248291016	84.5250082605302	16.7654208169309
478.121917724609	85.4419108693477	15.6346342531445
478.695587158203	85.302528091966	18.5945250124661
479.269256591797	86.6966800623644	14.8538087666049
479.842926025391	92.3075372556943	18.3741296155645
480.416595458984	98.655673120914	18.1540415861757
480.990234375	99.5895701524343	19.8373077666682
481.563903808594	98.3192348227266	18.9361466725324
482.137573242188	97.4107495096702	19.6618093618993
482.711242675781	96.0015535374513	17.5796280611956
483.284912109375	92.3660086579439	19.22932355554
483.858581542969	86.9261715904853	22.7269240359386
484.432250976563	89.4976168889545	17.8436440324223
485.005920410156	87.5035348113566	18.3139397405338
485.57958984375	85.5636185354162	17.7997773224159
486.153259277344	82.7342788292368	15.7912530908908
486.726928710938	81.0985714738004	19.1257862343588
487.300598144531	83.1471191617772	18.6995846529113
487.874267578125	85.6882615297582	16.7993276252303
488.447937011719	85.2745015974932	16.9053249661408
489.021606445313	87.6953278281389	16.3757855797213
489.595275878906	85.7776952022164	19.0591926590393
490.1689453125	87.6224374032972	18.8659353799676
490.742614746094	97.1584646028293	18.0496465541841
491.316284179688	102.228600069658	20.2774049030622
491.889953613281	100.915504553282	23.7480282865829
492.463623046875	97.7150939929471	24.1088341142432
493.037292480469	93.7933037656642	18.7871273109224
493.610961914063	90.6035898840557	17.1481689426208
494.184631347656	88.4317935261529	19.6623694862358
494.75830078125	85.2911817824878	20.077512650178
495.331970214844	82.2688512838173	18.8941676957437
495.905639648438	82.0052417678882	17.9242530922445
496.479278564453	83.0461021049472	17.2765696188409
497.052947998047	85.0498526465632	14.6350356590984
497.626617431641	85.5309257920694	15.0361681498857
