"row";"column";"SD1_sampleC_S_energy_2503.5_eV.tif_D1_sampleC.TIFF_Array_53";"CdSO4-fit";"CdS-fit"
2;59;8269.12;0.0012383;0.998762
2;60;8428.73;0;1
2;61;9977.15;0;1
2;62;11166.8;0;1
2;63;11446.9;0.0100718;0.989928
2;64;11079.8;0.0339684;0.966032
2;65;10273.3;0;1
2;66;10347;0;1
2;67;10871.5;0;1
2;68;11036.3;0;1
2;69;10590.5;0;1
2;70;9588.8;0;1
2;71;9741.67;0;1
2;72;11638.1;0.0289418;0.971058
2;73;11843.8;0.00719645;0.992804
2;74;11563.3;0.028006;0.971994
2;75;11016.3;0;1
2;76;10223.6;0;1
2;77;10282.1;0;1
2;78;10652.2;0;1
2;79;11041.4;0;1
2;80;11420.8;5.55e-17;1
2;81;11489.2;0;1
2;82;11844.4;0.00633504;0.993665
2;83;10987.9;0;1
2;84;10656.4;5.55e-17;1
2;85;11372.2;0;1
2;86;12860.9;0;1
2;87;14011;0;1
2;88;14821;5.55e-17;1
2;89;16975.2;0;1
2;90;18162.5;0;1
2;91;16726.1;0;1
2;92;14667.7;0;1
2;93;13438.6;0;1
2;94;14775.1;0;1
2;95;16368.4;0.0305062;0.969494
2;96;15942.6;0.0444244;0.955576
2;97;14727.5;0;1
2;98;14005.6;0;1
2;99;14982.4;0;1
2;100;16159.9;5.55e-17;1
2;101;16424.8;0;1
2;102;16365.5;0.00454191;0.995458
2;103;16083;0.0173483;0.982652
2;104;15106.7;0.0356809;0.964319
2;105;12876.2;0.00704821;0.992952
2;106;10927.7;0;1
2;107;8578.1;0;1
2;108;8091.87;0;1
2;109;10438.8;0;1
2;110;10942.4;0;1
2;111;10147.4;0;1
2;112;9515.11;5.55e-17;1
2;113;8722.02;0;1
2;114;8005.52;0;1
2;115;7548.04;0;1
2;116;7562.28;0;1
2;117;7616.45;0;1
2;118;7737.83;0;1
2;119;8352.97;0;1
2;120;8773.95;0;1
2;121;8385.51;0;1
2;122;7846.78;0;1
2;123;8202.87;5.55e-17;1
